GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
05.junit.code-coverage,com.cognizant.app.services,OddEvenServices,0,13,0,2,0,5,0,3,0,2
05.junit.code-coverage,com.cognizant.app.services,Palindrome,0,37,0,4,0,8,0,4,0,2
